UTC,Pack_count,IMUTemp,q0,q1,q2,q3,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AccX,AccY,AccZ,RealAccX,RealAccY,RealAccZ,PosX,PosY,PosZ,Long,Lat,Height,VelX,VelY,VelZ,RSSI,SNR,
10:33:22:98,27027,29.7969,0.99427   0.0053743   0.0046134    -0.10666,0.555973     0.591323     -12.2435,0.003767   0.0017176  -0.0006361,-0.011963     0.01796   -0.009697,-0.11621     0.10999      9.7656,0  0  0,0  0  0,0  0  0,213,-37,
10:33:23:32,27028,29.7969,0.99427   0.0053427   0.0046363    -0.10663,0.552108     0.593529       -12.24,0.0028534   0.0023308  -0.0010195,-0.0087509   0.0095978    0.010521,-0.11194     0.10193      9.7891,0  0  0,0  0  0,0  0  0,213,-37,
10:33:23:66,27029,29.7969,0.99428   0.0053139   0.0046433    -0.10656,0.548789     0.593939     -12.2313,0.0053368    0.000741  -0.0011301,-0.0076904    0.010956  3.7193e-05,-0.11096     0.10303      9.7813,0  0  0,0  0  0,0  0  0,213,-38,
10:33:24:00,27030,29.7969,0.99427   0.0053434   0.0046064     -0.1067,0.552515     0.590168     -12.2474,0.0043602  0.00098228  -0.0013866,-0.0081863   0.0044403 -0.00013828,-0.1095    0.097107      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:24:34,27031,29.7969,0.99428   0.0053319   0.0046213    -0.10661,0.551078     0.591678     -12.2376,0.0041199    0.002203  -0.0010309,0.0091248   0.0020027   0.0060501,-0.092468    0.098206      9.7891,0  0  0,0  0  0,0  0  0,213,-38,
10:33:24:68,27032,29.7813,0.99427   0.0053789   0.0045779    -0.10665,0.556941     0.587334     -12.2422,0.0046043   0.0013361  -0.0011225,-0.0013361  -0.0042038   0.0051193,-0.10052    0.090942      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:25:02,27033,29.7813,0.99428   0.0053539   0.0046013    -0.10654,0.553869     0.589626      -12.229,0.004303   0.0010023  -0.0013666,-0.0069199 -0.00031614   -0.010635,-0.10706    0.092834      9.7656,0  0  0,0  0  0,0  0  0,213,-39,
10:33:25:36,27034,29.7813,0.99428   0.0053068   0.0046586    -0.10653,0.547807     0.595581     -12.2284,-0.00054693   0.0061951 -0.00073576,-0.0068893  -0.0031185   0.0050812,-0.10809    0.088745      9.7813,0  0  0,0  0  0,0  0  0,213,-38,
10:33:25:70,27035,29.7969,0.99429   0.0053646   0.0045929    -0.10649,0.555214     0.588773     -12.2237,0.0050964     0.00142  -0.0012884,-0.0075073   0.0010233  -0.0037212,-0.10785    0.094421      9.7734,0  0  0,0  0  0,0  0  0,213,-37,
10:33:26:04,27036,29.7969,0.99429   0.0053185   0.0046296    -0.10645,0.549537     0.592374     -12.2193,0.0046539  0.00084686 -0.00095558,-0.0036545   0.0086288   0.0041885,-0.10632     0.10175      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:26:38,27037,29.7969,0.9943   0.0053293   0.0046456    -0.10642,0.550599     0.594309     -12.2159,0.0041924   0.0013704  -0.0014343,0.0011969  -0.0030918  0.00012779,-0.099426     0.09137      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:26:72,27038,29.7969,0.9943   0.0054012   0.0045734    -0.10639,0.559686      0.58695     -12.2123,0.0045853   0.0013485   -0.001462,-0.0069008   0.0029945  -0.0044746,-0.10736    0.097168      9.7734,0  0  0,0  0  0,0  0  0,213,-37,
10:33:27:06,27039,29.7969,0.99431   0.0053584   0.0045937     -0.1063,0.554608     0.588686     -12.2021,0.0046082   0.0012083  -0.0013494,-0.007576  -0.0021992   0.0022964,-0.10724    0.091187      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:27:40,27040,29.7969,0.99431     0.00537   0.0045456    -0.10634,0.556502     0.583368     -12.2059,0.0037155   0.0024204  -0.0017519,0.023575   -0.018143   -0.020432,-0.072449    0.082214      9.7578,0  0  0,0  0  0,0  0  0,213,-37,
10:33:27:74,27041,29.7813,0.9943   0.0053842   0.0045743    -0.10639,0.557738     0.586839     -12.2119,0.0039024    0.001997  -0.0011187,0.001255  -0.0063515   -0.013542,-0.097351    0.089294      9.7656,0  0  0,0  0  0,0  0  0,213,-37,
10:33:28:08,27042,29.7813,0.9943   0.0053375   0.0046367    -0.10639,0.551659     0.593383     -12.2119,0.0039253   0.0022106  -0.0018597,-0.00054884  0.00045872   0.0051231,-0.10187    0.094727      9.7813,0  0  0,0  0  0,0  0  0,213,-37,
10:33:28:42,27043,29.7813,0.9943   0.0053889   0.0046058    -0.10639,0.557888     0.590485     -12.2122,0.0054932   0.0012808 -0.00092554,-0.071228  -0.0010319    0.067749,-0.17078    0.080139      9.8438,0  0  0,0  0  0,0  0  0,213,-37,
10:33:28:76,27044,29.7656,0.9943   0.0053788   0.0045905    -0.10636,0.556946     0.588599     -12.2084,0.0030003   0.0026093 -0.00064945,-0.012611    0.011551  -0.0021286,-0.11517     0.10376      9.7734,0  0  0,0  0  0,0  0  0,213,-37,
10:40:17:45,28246,29.8281,0.99373   0.0053723   0.0049209    -0.11153,0.548908     0.629032     -12.8044,0.0026379   0.0036221 -0.00058365,0.001544  -0.0030994   -0.014397,-0.1051    0.090881      9.7656,0  0  0,0  0  0,0  0  0,213,-39,
